,0,1,2,3,4,5,6,Xt
0,7015500.0,7584100.0,16257000.0,6836200.0,10316500.0,5623000.0,3232800.0,5156600.0
1,7584100.0,16257000.0,6836200.0,10316500.0,5623000.0,3232800.0,5156600.0,2730700.0
2,16257000.0,6836200.0,10316500.0,5623000.0,3232800.0,5156600.0,2730700.0,3230500.0
3,6836200.0,10316500.0,5623000.0,3232800.0,5156600.0,2730700.0,3230500.0,5421900.0
4,10316500.0,5623000.0,3232800.0,5156600.0,2730700.0,3230500.0,5421900.0,4318800.0
5,5623000.0,3232800.0,5156600.0,2730700.0,3230500.0,5421900.0,4318800.0,1938900.0
6,3232800.0,5156600.0,2730700.0,3230500.0,5421900.0,4318800.0,1938900.0,4873000.0
7,5156600.0,2730700.0,3230500.0,5421900.0,4318800.0,1938900.0,4873000.0,2432100.0
8,2730700.0,3230500.0,5421900.0,4318800.0,1938900.0,4873000.0,2432100.0,5501900.0
9,3230500.0,5421900.0,4318800.0,1938900.0,4873000.0,2432100.0,5501900.0,3584900.0
10,5421900.0,4318800.0,1938900.0,4873000.0,2432100.0,5501900.0,3584900.0,2119700.0
11,4318800.0,1938900.0,4873000.0,2432100.0,5501900.0,3584900.0,2119700.0,2253300.0
12,1938900.0,4873000.0,2432100.0,5501900.0,3584900.0,2119700.0,2253300.0,1260400.0
13,4873000.0,2432100.0,5501900.0,3584900.0,2119700.0,2253300.0,1260400.0,4719600.0
14,2432100.0,5501900.0,3584900.0,2119700.0,2253300.0,1260400.0,4719600.0,1302600.0
15,5501900.0,3584900.0,2119700.0,2253300.0,1260400.0,4719600.0,1302600.0,3810700.0
16,3584900.0,2119700.0,2253300.0,1260400.0,4719600.0,1302600.0,3810700.0,2914300.0
17,2119700.0,2253300.0,1260400.0,4719600.0,1302600.0,3810700.0,2914300.0,4638900.0
18,2253300.0,1260400.0,4719600.0,1302600.0,3810700.0,2914300.0,4638900.0,11713200.0
19,1260400.0,4719600.0,1302600.0,3810700.0,2914300.0,4638900.0,11713200.0,6167000.0
20,4719600.0,1302600.0,3810700.0,2914300.0,4638900.0,11713200.0,6167000.0,3323500.0
21,1302600.0,3810700.0,2914300.0,4638900.0,11713200.0,6167000.0,3323500.0,2701400.0
22,3810700.0,2914300.0,4638900.0,11713200.0,6167000.0,3323500.0,2701400.0,9470300.0
23,2914300.0,4638900.0,11713200.0,6167000.0,3323500.0,2701400.0,9470300.0,4510700.0
24,4638900.0,11713200.0,6167000.0,3323500.0,2701400.0,9470300.0,4510700.0,6387000.0
25,11713200.0,6167000.0,3323500.0,2701400.0,9470300.0,4510700.0,6387000.0,5066100.0
26,6167000.0,3323500.0,2701400.0,9470300.0,4510700.0,6387000.0,5066100.0,12650000.0
27,3323500.0,2701400.0,9470300.0,4510700.0,6387000.0,5066100.0,12650000.0,12457600.0
28,2701400.0,9470300.0,4510700.0,6387000.0,5066100.0,12650000.0,12457600.0,15624200.0
29,9470300.0,4510700.0,6387000.0,5066100.0,12650000.0,12457600.0,15624200.0,7186200.0
30,4510700.0,6387000.0,5066100.0,12650000.0,12457600.0,15624200.0,7186200.0,6315400.0
31,6387000.0,5066100.0,12650000.0,12457600.0,15624200.0,7186200.0,6315400.0,6661700.0
32,5066100.0,12650000.0,12457600.0,15624200.0,7186200.0,6315400.0,6661700.0,2758500.0
33,12650000.0,12457600.0,15624200.0,7186200.0,6315400.0,6661700.0,2758500.0,8438000.0
34,12457600.0,15624200.0,7186200.0,6315400.0,6661700.0,2758500.0,8438000.0,14351400.0
35,15624200.0,7186200.0,6315400.0,6661700.0,2758500.0,8438000.0,14351400.0,9376100.0
36,7186200.0,6315400.0,6661700.0,2758500.0,8438000.0,14351400.0,9376100.0,8211300.0
37,6315400.0,6661700.0,2758500.0,8438000.0,14351400.0,9376100.0,8211300.0,4843600.0
38,6661700.0,2758500.0,8438000.0,14351400.0,9376100.0,8211300.0,4843600.0,5153300.0
39,2758500.0,8438000.0,14351400.0,9376100.0,8211300.0,4843600.0,5153300.0,8041900.0
40,8438000.0,14351400.0,9376100.0,8211300.0,4843600.0,5153300.0,8041900.0,8215200.0
41,14351400.0,9376100.0,8211300.0,4843600.0,5153300.0,8041900.0,8215200.0,7491800.0
42,9376100.0,8211300.0,4843600.0,5153300.0,8041900.0,8215200.0,7491800.0,3732200.0
43,8211300.0,4843600.0,5153300.0,8041900.0,8215200.0,7491800.0,3732200.0,5247700.0
44,4843600.0,5153300.0,8041900.0,8215200.0,7491800.0,3732200.0,5247700.0,5522800.0
45,5153300.0,8041900.0,8215200.0,7491800.0,3732200.0,5247700.0,5522800.0,3259700.0
46,8041900.0,8215200.0,7491800.0,3732200.0,5247700.0,5522800.0,3259700.0,7202000.0
47,8215200.0,7491800.0,3732200.0,5247700.0,5522800.0,3259700.0,7202000.0,2943400.0
48,7491800.0,3732200.0,5247700.0,5522800.0,3259700.0,7202000.0,2943400.0,1328400.0
49,3732200.0,5247700.0,5522800.0,3259700.0,7202000.0,2943400.0,1328400.0,1721000.0
50,5247700.0,5522800.0,3259700.0,7202000.0,2943400.0,1328400.0,1721000.0,6546900.0
51,5522800.0,3259700.0,7202000.0,2943400.0,1328400.0,1721000.0,6546900.0,12572900.0
52,3259700.0,7202000.0,2943400.0,1328400.0,1721000.0,6546900.0,12572900.0,3905300.0
53,7202000.0,2943400.0,1328400.0,1721000.0,6546900.0,12572900.0,3905300.0,8067100.0
54,2943400.0,1328400.0,1721000.0,6546900.0,12572900.0,3905300.0,8067100.0,13500100.0
55,1328400.0,1721000.0,6546900.0,12572900.0,3905300.0,8067100.0,13500100.0,19056100.0
56,1721000.0,6546900.0,12572900.0,3905300.0,8067100.0,13500100.0,19056100.0,6668000.0
57,6546900.0,12572900.0,3905300.0,8067100.0,13500100.0,19056100.0,6668000.0,3429700.0
58,12572900.0,3905300.0,8067100.0,13500100.0,19056100.0,6668000.0,3429700.0,6510600.0
59,3905300.0,8067100.0,13500100.0,19056100.0,6668000.0,3429700.0,6510600.0,15183100.0
60,8067100.0,13500100.0,19056100.0,6668000.0,3429700.0,6510600.0,15183100.0,1900900.0
61,13500100.0,19056100.0,6668000.0,3429700.0,6510600.0,15183100.0,1900900.0,2361700.0
62,19056100.0,6668000.0,3429700.0,6510600.0,15183100.0,1900900.0,2361700.0,2854300.0
63,6668000.0,3429700.0,6510600.0,15183100.0,1900900.0,2361700.0,2854300.0,3642000.0
64,3429700.0,6510600.0,15183100.0,1900900.0,2361700.0,2854300.0,3642000.0,9673900.0
65,6510600.0,15183100.0,1900900.0,2361700.0,2854300.0,3642000.0,9673900.0,5595800.0
66,15183100.0,1900900.0,2361700.0,2854300.0,3642000.0,9673900.0,5595800.0,9095100.0
67,1900900.0,2361700.0,2854300.0,3642000.0,9673900.0,5595800.0,9095100.0,3539800.0
68,2361700.0,2854300.0,3642000.0,9673900.0,5595800.0,9095100.0,3539800.0,2245300.0
69,2854300.0,3642000.0,9673900.0,5595800.0,9095100.0,3539800.0,2245300.0,8020800.0
70,3642000.0,9673900.0,5595800.0,9095100.0,3539800.0,2245300.0,8020800.0,4150500.0
71,9673900.0,5595800.0,9095100.0,3539800.0,2245300.0,8020800.0,4150500.0,3595500.0
72,5595800.0,9095100.0,3539800.0,2245300.0,8020800.0,4150500.0,3595500.0,4818500.0
73,9095100.0,3539800.0,2245300.0,8020800.0,4150500.0,3595500.0,4818500.0,2762200.0
74,3539800.0,2245300.0,8020800.0,4150500.0,3595500.0,4818500.0,2762200.0,5034300.0
75,2245300.0,8020800.0,4150500.0,3595500.0,4818500.0,2762200.0,5034300.0,5659000.0
76,8020800.0,4150500.0,3595500.0,4818500.0,2762200.0,5034300.0,5659000.0,2539800.0
77,4150500.0,3595500.0,4818500.0,2762200.0,5034300.0,5659000.0,2539800.0,4111800.0
78,3595500.0,4818500.0,2762200.0,5034300.0,5659000.0,2539800.0,4111800.0,2727700.0
79,4818500.0,2762200.0,5034300.0,5659000.0,2539800.0,4111800.0,2727700.0,3541400.0
80,2762200.0,5034300.0,5659000.0,2539800.0,4111800.0,2727700.0,3541400.0,3512300.0
81,5034300.0,5659000.0,2539800.0,4111800.0,2727700.0,3541400.0,3512300.0,4651800.0
82,5659000.0,2539800.0,4111800.0,2727700.0,3541400.0,3512300.0,4651800.0,3829900.0
83,2539800.0,4111800.0,2727700.0,3541400.0,3512300.0,4651800.0,3829900.0,10822100.0
84,4111800.0,2727700.0,3541400.0,3512300.0,4651800.0,3829900.0,10822100.0,2649100.0
85,2727700.0,3541400.0,3512300.0,4651800.0,3829900.0,10822100.0,2649100.0,3571800.0
86,3541400.0,3512300.0,4651800.0,3829900.0,10822100.0,2649100.0,3571800.0,4775500.0
87,3512300.0,4651800.0,3829900.0,10822100.0,2649100.0,3571800.0,4775500.0,2707900.0
88,4651800.0,3829900.0,10822100.0,2649100.0,3571800.0,4775500.0,2707900.0,4809500.0
89,3829900.0,10822100.0,2649100.0,3571800.0,4775500.0,2707900.0,4809500.0,5046700.0
90,10822100.0,2649100.0,3571800.0,4775500.0,2707900.0,4809500.0,5046700.0,8961700.0
91,2649100.0,3571800.0,4775500.0,2707900.0,4809500.0,5046700.0,8961700.0,3621200.0
92,3571800.0,4775500.0,2707900.0,4809500.0,5046700.0,8961700.0,3621200.0,3956100.0
93,4775500.0,2707900.0,4809500.0,5046700.0,8961700.0,3621200.0,3956100.0,1235400.0
94,2707900.0,4809500.0,5046700.0,8961700.0,3621200.0,3956100.0,1235400.0,1208800.0
95,4809500.0,5046700.0,8961700.0,3621200.0,3956100.0,1235400.0,1208800.0,1583100.0
96,5046700.0,8961700.0,3621200.0,3956100.0,1235400.0,1208800.0,1583100.0,1352700.0
97,8961700.0,3621200.0,3956100.0,1235400.0,1208800.0,1583100.0,1352700.0,2992400.0
98,3621200.0,3956100.0,1235400.0,1208800.0,1583100.0,1352700.0,2992400.0,3347000.0
99,3956100.0,1235400.0,1208800.0,1583100.0,1352700.0,2992400.0,3347000.0,3531200.0
100,1235400.0,1208800.0,1583100.0,1352700.0,2992400.0,3347000.0,3531200.0,1682900.0
101,1208800.0,1583100.0,1352700.0,2992400.0,3347000.0,3531200.0,1682900.0,2332500.0
102,1583100.0,1352700.0,2992400.0,3347000.0,3531200.0,1682900.0,2332500.0,2360400.0
103,1352700.0,2992400.0,3347000.0,3531200.0,1682900.0,2332500.0,2360400.0,4197700.0
104,2992400.0,3347000.0,3531200.0,1682900.0,2332500.0,2360400.0,4197700.0,2693500.0
105,3347000.0,3531200.0,1682900.0,2332500.0,2360400.0,4197700.0,2693500.0,1457400.0
106,3531200.0,1682900.0,2332500.0,2360400.0,4197700.0,2693500.0,1457400.0,1784700.0
107,1682900.0,2332500.0,2360400.0,4197700.0,2693500.0,1457400.0,1784700.0,3384600.0
108,2332500.0,2360400.0,4197700.0,2693500.0,1457400.0,1784700.0,3384600.0,2486300.0
109,2360400.0,4197700.0,2693500.0,1457400.0,1784700.0,3384600.0,2486300.0,4276400.0
110,4197700.0,2693500.0,1457400.0,1784700.0,3384600.0,2486300.0,4276400.0,4663900.0
111,2693500.0,1457400.0,1784700.0,3384600.0,2486300.0,4276400.0,4663900.0,1769900.0
112,1457400.0,1784700.0,3384600.0,2486300.0,4276400.0,4663900.0,1769900.0,8398900.0
113,1784700.0,3384600.0,2486300.0,4276400.0,4663900.0,1769900.0,8398900.0,4739100.0
114,3384600.0,2486300.0,4276400.0,4663900.0,1769900.0,8398900.0,4739100.0,1337200.0
115,2486300.0,4276400.0,4663900.0,1769900.0,8398900.0,4739100.0,1337200.0,3698700.0
116,4276400.0,4663900.0,1769900.0,8398900.0,4739100.0,1337200.0,3698700.0,2461800.0
117,4663900.0,1769900.0,8398900.0,4739100.0,1337200.0,3698700.0,2461800.0,5332600.0
118,1769900.0,8398900.0,4739100.0,1337200.0,3698700.0,2461800.0,5332600.0,3934100.0
119,8398900.0,4739100.0,1337200.0,3698700.0,2461800.0,5332600.0,3934100.0,4954100.0
120,4739100.0,1337200.0,3698700.0,2461800.0,5332600.0,3934100.0,4954100.0,2238200.0
121,1337200.0,3698700.0,2461800.0,5332600.0,3934100.0,4954100.0,2238200.0,10391500.0
122,3698700.0,2461800.0,5332600.0,3934100.0,4954100.0,2238200.0,10391500.0,6773400.0
123,2461800.0,5332600.0,3934100.0,4954100.0,2238200.0,10391500.0,6773400.0,11866400.0
124,5332600.0,3934100.0,4954100.0,2238200.0,10391500.0,6773400.0,11866400.0,5951600.0
125,3934100.0,4954100.0,2238200.0,10391500.0,6773400.0,11866400.0,5951600.0,2657000.0
