Date,Open,High,Low,Close,Adj Close,Volume
2022-08-29,6950.000000,7200.000000,6800.000000,7000.000000,6774.145020,3259700
2022-08-30,7000.000000,7250.000000,6975.000000,7225.000000,6991.885254,7202000
2022-08-31,7225.000000,7300.000000,7000.000000,7175.000000,6943.498535,2943400
2022-09-01,7400.000000,7400.000000,7050.000000,7125.000000,6895.111816,1328400
2022-09-02,7125.000000,7125.000000,6975.000000,7075.000000,6846.725098,1721000
2022-09-05,7075.000000,7125.000000,6900.000000,7100.000000,6870.918457,6546900
2022-09-06,7125.000000,7250.000000,7075.000000,7200.000000,6967.691895,12572900
2022-09-07,7200.000000,7200.000000,6950.000000,6950.000000,6725.758301,3905300
2022-09-08,6975.000000,7275.000000,6975.000000,7200.000000,6967.691895,8067100
2022-09-09,7200.000000,7250.000000,7150.000000,7175.000000,6943.498535,13500100
2022-09-12,7175.000000,7275.000000,7100.000000,7200.000000,6967.691895,19056100
2022-09-13,7200.000000,7400.000000,7150.000000,7300.000000,7064.465332,6668000
2022-09-14,7200.000000,7275.000000,7000.000000,7125.000000,6895.111816,3429700
2022-09-15,7125.000000,7325.000000,7075.000000,7175.000000,6943.498535,6510600
2022-09-16,7175.000000,7200.000000,6975.000000,7050.000000,6822.531738,15183100
2022-09-19,7050.000000,7175.000000,7050.000000,7175.000000,6943.498535,1900900
2022-09-20,7175.000000,7175.000000,7000.000000,7025.000000,6798.338379,2361700
2022-09-21,7050.000000,7050.000000,6900.000000,6925.000000,6701.564941,2854300
2022-09-22,6925.000000,7200.000000,6875.000000,7200.000000,6967.691895,3642000
2022-09-23,7200.000000,7500.000000,7175.000000,7350.000000,7112.852051,9673900
2022-09-26,7350.000000,7475.000000,7200.000000,7475.000000,7233.818848,5595800
2022-09-27,7475.000000,7675.000000,7375.000000,7450.000000,7209.625488,9095100
2022-09-28,7450.000000,7450.000000,7225.000000,7300.000000,7064.465332,3539800
2022-09-29,7450.000000,7450.000000,7225.000000,7350.000000,7112.852051,2245300
2022-09-30,7300.000000,7475.000000,7175.000000,7250.000000,7016.078613,8020800
2022-10-03,7250.000000,7450.000000,7175.000000,7400.000000,7161.238770,4150500
2022-10-04,7400.000000,7425.000000,7175.000000,7275.000000,7040.271973,3595500
2022-10-05,7275.000000,7325.000000,7100.000000,7100.000000,6870.918457,4818500
2022-10-06,7125.000000,7175.000000,7000.000000,7075.000000,6846.725098,2762200
2022-10-07,7075.000000,7075.000000,6800.000000,6825.000000,6604.791504,5034300
2022-10-10,6825.000000,6975.000000,6675.000000,6850.000000,6628.984863,5659000
2022-10-11,6900.000000,6925.000000,6775.000000,6850.000000,6628.984863,2539800
2022-10-12,6875.000000,6925.000000,6575.000000,6875.000000,6653.178223,4111800
2022-10-13,6875.000000,6900.000000,6600.000000,6600.000000,6387.050781,2727700
2022-10-14,6650.000000,6800.000000,6275.000000,6275.000000,6072.537109,3541400
2022-10-17,6275.000000,6375.000000,6125.000000,6300.000000,6096.730469,3512300
2022-10-18,6325.000000,6600.000000,6300.000000,6325.000000,6120.923828,4651800
2022-10-19,6325.000000,6375.000000,6225.000000,6325.000000,6120.923828,3829900
2022-10-20,6425.000000,6725.000000,6175.000000,6425.000000,6217.697266,10822100
2022-10-21,6500.000000,6625.000000,6375.000000,6500.000000,6290.277344,2649100
2022-10-24,6525.000000,6625.000000,6475.000000,6550.000000,6338.664063,3571800
2022-10-25,6550.000000,6775.000000,6550.000000,6650.000000,6435.437500,4775500
2022-10-26,6650.000000,6750.000000,6400.000000,6425.000000,6217.697266,2707900
2022-10-27,6400.000000,6550.000000,6275.000000,6375.000000,6169.310547,4809500
2022-10-28,6375.000000,6425.000000,6275.000000,6350.000000,6145.117188,5046700
2022-10-31,6400.000000,6875.000000,6400.000000,6775.000000,6556.404785,8961700
2022-11-01,6800.000000,6925.000000,6600.000000,6925.000000,6701.564941,3621200
2022-11-02,6900.000000,6975.000000,6750.000000,6925.000000,6701.564941,3956100
2022-11-03,6925.000000,6925.000000,6725.000000,6825.000000,6604.791504,1235400
2022-11-04,6825.000000,6825.000000,6625.000000,6700.000000,6483.824219,1208800
2022-11-07,6725.000000,6825.000000,6700.000000,6800.000000,6580.598145,1583100
2022-11-08,6800.000000,6800.000000,6650.000000,6675.000000,6459.630859,1352700
2022-11-09,6675.000000,6725.000000,6500.000000,6550.000000,6338.664063,2992400
2022-11-10,6550.000000,6650.000000,6375.000000,6625.000000,6411.244141,3347000
2022-11-11,6700.000000,6800.000000,6600.000000,6750.000000,6532.211426,3531200
2022-11-14,6750.000000,6775.000000,6525.000000,6575.000000,6362.857422,1682900
2022-11-15,6575.000000,6600.000000,6425.000000,6550.000000,6338.664063,2332500
2022-11-16,6550.000000,6550.000000,6350.000000,6400.000000,6193.503906,2360400
2022-11-17,6400.000000,6500.000000,6225.000000,6300.000000,6096.730469,4197700
2022-11-18,6325.000000,6375.000000,6250.000000,6300.000000,6096.730469,2693500
2022-11-21,6400.000000,6400.000000,6250.000000,6300.000000,6096.730469,1457400
2022-11-22,6300.000000,6350.000000,6250.000000,6275.000000,6072.537109,1784700
2022-11-23,6275.000000,6350.000000,6225.000000,6225.000000,6024.150391,3384600
2022-11-24,6250.000000,6300.000000,6175.000000,6250.000000,6048.343750,2486300
2022-11-25,6250.000000,6250.000000,6050.000000,6050.000000,5854.796875,4276400
2022-11-28,6050.000000,6125.000000,5900.000000,5925.000000,5733.829590,4663900
2022-11-29,5950.000000,6025.000000,5900.000000,5925.000000,5733.829590,1769900
2022-11-30,6025.000000,6025.000000,5750.000000,5950.000000,5758.023438,8398900
2022-12-01,5950.000000,5950.000000,5750.000000,5850.000000,5661.249512,4739100
2022-12-02,5875.000000,5900.000000,5750.000000,5875.000000,5685.442871,1337200
2022-12-05,5900.000000,6050.000000,5875.000000,6000.000000,5806.410156,3698700
2022-12-06,6000.000000,6050.000000,5775.000000,5825.000000,5637.056152,2461800
2022-12-07,5825.000000,5900.000000,5550.000000,5775.000000,5588.669434,5332600
2022-12-08,5750.000000,5850.000000,5625.000000,5800.000000,5612.862793,3934100
2022-12-09,5775.000000,5875.000000,5700.000000,5750.000000,5564.476074,4954100
2022-12-12,5775.000000,5775.000000,5575.000000,5625.000000,5443.509277,2238200
2022-12-13,5725.000000,5775.000000,5425.000000,5500.000000,5322.542480,10391500
2022-12-14,5500.000000,5575.000000,5375.000000,5400.000000,5225.769043,6773400
2022-12-15,5450.000000,5450.000000,5275.000000,5375.000000,5201.575684,11866400
2022-12-16,5375.000000,5700.000000,5300.000000,5600.000000,5419.315918,5951600
2022-12-19,5600.000000,5750.000000,5475.000000,5700.000000,5516.089355,2657000
2022-12-20,5675.000000,5750.000000,5650.000000,5725.000000,5540.282715,3747100
2022-12-21,5725.000000,5750.000000,5625.000000,5700.000000,5516.089355,944200
2022-12-22,5725.000000,6100.000000,5725.000000,6000.000000,5806.410156,9235300
2022-12-23,6100.000000,6125.000000,5875.000000,5975.000000,5782.216797,2495500
2022-12-26,6000.000000,6175.000000,5925.000000,6125.000000,5927.376953,2661000
2022-12-27,6150.000000,6175.000000,6050.000000,6100.000000,5903.183594,2300100
2022-12-28,6100.000000,6150.000000,5925.000000,6000.000000,5806.410156,1465000
2022-12-29,6000.000000,6025.000000,5925.000000,6025.000000,5830.603516,793100
2022-12-30,6025.000000,6200.000000,5950.000000,6175.000000,5975.763672,2079400
2023-01-02,6175.000000,6200.000000,6000.000000,6025.000000,5830.603516,867000
2023-01-03,6025.000000,6425.000000,6000.000000,6300.000000,6096.730469,8351700
2023-01-04,6425.000000,6425.000000,6175.000000,6250.000000,6048.343750,2306500
2023-01-05,6250.000000,6300.000000,6050.000000,6100.000000,5903.183594,2840400
2023-01-06,6100.000000,6250.000000,5925.000000,6125.000000,5927.376953,2492800
2023-01-09,6150.000000,6150.000000,5925.000000,5925.000000,5733.829590,3520800
2023-01-10,5925.000000,6175.000000,5925.000000,6100.000000,5903.183594,4100500
2023-01-11,6100.000000,6225.000000,6025.000000,6025.000000,5830.603516,1827500
2023-01-12,6050.000000,6175.000000,5950.000000,6000.000000,5806.410156,2380300
2023-01-13,6025.000000,6125.000000,5975.000000,6075.000000,5878.990234,2395000
2023-01-16,6075.000000,6100.000000,6000.000000,6050.000000,5854.796875,1202400
2023-01-17,6100.000000,6125.000000,6025.000000,6050.000000,5854.796875,1679600
2023-01-18,6050.000000,6100.000000,6000.000000,6050.000000,5854.796875,2980300
2023-01-19,6050.000000,6250.000000,6050.000000,6200.000000,5999.957031,5546900
2023-01-20,6200.000000,6275.000000,6100.000000,6125.000000,5927.376953,2639200
2023-01-24,6200.000000,6200.000000,6050.000000,6050.000000,5854.796875,601800
2023-01-25,6050.000000,6100.000000,5825.000000,5825.000000,5637.056152,5790500
2023-01-26,5825.000000,6025.000000,5825.000000,5975.000000,5782.216797,1103500
2023-01-27,6025.000000,6075.000000,5900.000000,6000.000000,5806.410156,2914000
2023-01-30,6000.000000,6025.000000,5925.000000,5975.000000,5782.216797,2470500
2023-01-31,6000.000000,6150.000000,5950.000000,6100.000000,5903.183594,2912200
2023-02-01,6150.000000,6175.000000,5925.000000,6000.000000,5806.410156,2789900
2023-02-02,6000.000000,6100.000000,5925.000000,5925.000000,5733.829590,1720000
2023-02-03,5925.000000,6100.000000,5925.000000,6050.000000,5854.796875,2069200
2023-02-06,6050.000000,6100.000000,5950.000000,6000.000000,5806.410156,2999700
2023-02-07,6000.000000,6075.000000,5850.000000,5900.000000,5709.636230,6200100
2023-02-08,5900.000000,5950.000000,5825.000000,5900.000000,5709.636230,7513200
2023-02-09,5900.000000,5925.000000,5850.000000,5875.000000,5685.442871,2974400
