,0,1,2,3,4,5,6,Xt
122,210276,209958,221259,214563,215083,215273,194485,193493
123,209958,221259,214563,215083,215273,194485,193493,174531
124,221259,214563,215083,215273,194485,193493,174531,211837
125,214563,215083,215273,194485,193493,174531,211837,198663
126,215083,215273,194485,193493,174531,211837,198663,189060
127,215273,194485,193493,174531,211837,198663,189060,195181
128,194485,193493,174531,211837,198663,189060,195181,165586
129,193493,174531,211837,198663,189060,195181,165586,188693
130,174531,211837,198663,189060,195181,165586,188693,191919
131,211837,198663,189060,195181,165586,188693,191919,183087
132,198663,189060,195181,165586,188693,191919,183087,168406
133,189060,195181,165586,188693,191919,183087,168406,161926
134,195181,165586,188693,191919,183087,168406,161926,164494
135,165586,188693,191919,183087,168406,161926,164494,168655
136,188693,191919,183087,168406,161926,164494,168655,178597
137,191919,183087,168406,161926,164494,168655,178597,181197
