,Fitur,Test_Size,K Neighbors,Nilai Error MSE,Nilai Error MAPE
64,4,0.2,11,0.050788239177457534,0.1660213452050333
65,4,0.2,13,0.0519893587715864,0.1672849635832122
66,5,0.2,3,0.06650129322137119,0.1902040189180003
67,5,0.2,5,0.05420474220157532,0.1713700264946568
68,5,0.2,7,0.04887954151429265,0.16283903702110347
69,5,0.2,9,0.049327214822259234,0.16430706261493788
70,5,0.2,11,0.05123207434411404,0.1679378926096651
71,5,0.2,13,0.052359498715611776,0.16915222017145834
72,6,0.2,3,0.06293759931791788,0.1873888093799106
73,6,0.2,5,0.05715726200240921,0.17612332122645638
74,6,0.2,7,0.05649555252050343,0.17544379118318137
75,6,0.2,9,0.05575862113628788,0.17496535968490243
76,6,0.2,11,0.05564268925059007,0.1736955810699158
77,6,0.2,13,0.054161700551077295,0.17147766587489383
78,7,0.2,3,0.058603311248539604,0.1795484846948184
79,7,0.2,5,0.05622627743171949,0.17648166921065145
80,7,0.2,7,0.05674599310510991,0.17648284299673148
81,7,0.2,9,0.05831271748198914,0.17868600623912173
82,7,0.2,11,0.05788743342917948,0.17888990279115524
83,7,0.2,13,0.05690096889518171,0.1766188067056858
84,1,0.3,3,0.04636703932529331,0.14342542432436736
85,1,0.3,5,0.04618275075826024,0.13965654173302622
86,1,0.3,7,0.04243899899755058,0.13445876410653915
87,1,0.3,9,0.041928861223021835,0.13512860367184787
88,1,0.3,11,0.04690409153354875,0.14227845333099962
89,1,0.3,13,0.04303180411110235,0.1362236822566908
90,2,0.3,3,0.04886354950071583,0.14513944566166062
91,2,0.3,5,0.04374214071648699,0.13843707236215858
92,2,0.3,7,0.043318436659687515,0.13705788599131716
93,2,0.3,9,0.042190651431186305,0.1333162795751768
94,2,0.3,11,0.0404846499173357,0.1304684549378931
95,2,0.3,13,0.037671176554388314,0.12658151404143256
96,3,0.3,3,0.0543635688491879,0.15626298688457416
97,3,0.3,5,0.04864842755038498,0.14552496048078492
98,3,0.3,7,0.043837510866264764,0.13670342881170547
99,3,0.3,9,0.03924312433619212,0.13023975685095782
100,3,0.3,11,0.0375369694939166,0.12751758269066488
101,3,0.3,13,0.03840738066652172,0.12844552815961793
102,4,0.3,3,0.03989977096459689,0.1287300407159271
103,4,0.3,5,0.0346757204401128,0.12216974897657333
104,4,0.3,7,0.03311928935491492,0.11937086614309585
105,4,0.3,9,0.035344571410859775,0.12338573819125818
106,4,0.3,11,0.0359818646297021,0.12454381762898559
107,4,0.3,13,0.037246500090426855,0.12687055754922355
108,5,0.3,3,0.0464091380219155,0.14023578711988172
